CASO_ID,MERCADO_ANALISTA,DESCRIPCION_CIUDADANO,PETICION_CIUDADANO
638428,APIA -Reclamo Seguros ,"RECIBI UN CORREO ELECTRONICO DONDE SE ME INDICA QUE  ZURICH SANTANDER SEGUROS HA DECIDIDO NO RENOVAR LA PÓLIZA Nº XX - SÚPER SEGURO ALIVIO SEGURO FAMILIAR POR UN NUEVO PERÍODO, CONFORME AL ARTÍCULO 5 DE LAS CONDICIONES GENERALES DE SU SEGURO (POL 2 99 003). 

SEGÚN HE REVISADO, LA POL 299 003 CORRESPONDE A UNA POLIZA DE PRESTACIONES MEDICAS, LA CUAL ESTA PROHIBIDA POR RESOLUCION N°541 DE 15/09/2010.

ADEMÁS REVISANDO ANTECEDENTES ENTIENDO QUE LA COMPAÑÍA NO PUEDE PONER TERMINO UNILATERAL A DICHO SEGURO A MENOS QUE SE CUMPLA ALGUNA DE LAS CAUSALES COMO “NO PAGO DE LA PRIMA; CAMBIO DE LO QUE SE ASEGURÓ; OMISIÓN O FALSEO DE INFORMACIÓN POR PARTE DEL CLIENTE; PÉRDIDA TOTAL O PARCIAL, DESTRUCCIÓN DE LOS RIESGOS O LO ASEGURADO TRAS FIRMAR EL CONTRATO, AÚN SI EL EVENTO TIENE O NO COBERTURA. CAMBIO EN LA MONEDA DE LA PÓLIZA”.
",DADO QUE NINGUNA DE LAS CAUSALES ANTERIORES SE CUMPLE ES QUE VENGO A SOLICITAR A UDS INTERVENGAN EN ESTA DECISION UNILATERAL DE LA COMPAÑÍA Y SE RECHAZE LA NO RENOVACION DE MI POLIZA TOMADA HACE10 AÑOS (13/09/2006) 
580194,APIA -Reclamo Seguros ,"Mi nombre es XX y el día 27 de Enero de este año, entregue una carta de anulación por una póliza de APV que mantenía con Metlife. 
En un descuido, se me olvido poner el número de póliza  que estaba anulando y al cabo de unos días llame por teléfono para ver en qué estado iba mi solicitud y me informaron de esto.
Según indicaciones de Metlife, envié un correo indicando el número de póliza que estaba anulando y ellos me contestaron el día 04 de Febrero de este año, que recibían la información en conformidad y que la anulación se haría efectiva en un plazo de 10 días hábiles.
Pues bien, han pasado más de 10 días hábiles y aun no tengo el dinero en mi cuenta según fue solicitado y es por esta razón que hago el reclamo.

Adjunto carta inicial recepcionada por Metlife y correo indicando la recepción de la información posterior.
",Necesito que Metlife me deposite el dinero solicitado en la cuenta corriente indicada.
447321,APIA -Reclamo Seguros ,"Estimados Señores SVS

Con fecha 13 de Octubre de 2014, di de baja mi seguro de vida con devolución, el cual tiene la opción de que me devuelvan parte de la prima al momento de llegar a la cuota 36. Esta compañía me señalo que me devolverían los fondos dentro de los 15 días siguientes y que dejaban el N° de Solicitud XX.

Posteriormente he llamado varias veces a la compañía para reclamar por el hecho de que no me han pagado, y se levanto el numero de reclamo XX, para avisar al área de cobranzas que me cancelen mi plata por la devolución.

Por esta razón quiero colocar un reclamo formal a esta instituión por el no pago de la devolución de la prima de mi seguro N° XX.

Espero que se inicie una formalización contra esta compañía para que cumplan con lo acordado.

Atte

XX
","Por esta razón quiero colocar un reclamo formal a esta instituión por el no pago de la devolución de la prima de mi seguro N° XX.

Espero que se inicie una formalización contra esta compañía para que cumplan con lo acordado.

Atte

XX"
437201,APIA -Reclamo Seguros ,"En primera instancia solicité renvar mi tarjeta cta RUT en sucursal Vicuña mackenna donde la sra del mesón e indica que solo puedo renovarla ahí si contrato un seguro asociado. Reclame y la unica solucion fue que la renovara en sucursal de serviestado. Entonces hice el trámite en serviestado (en calle alameda) para no tomar ese seguro. (Eso fue el 1 problema)

Ayer, revisando mi cartola, me doy cuenta que me descuentan una prima de seguro, llamo al banco y me comunican con el área de seguros, donde me indican que contraté un seguro de robo para mi tarjeta, SORPRESA!! solicite más datos, y me dicen que ""yo tome"" el seguro en la sucursal N0359 de vicuña Mackenna,  MAAS SORPRESA!! y que debo ""Renunciar"" a este seguro si no lo quiero seguir pagando y que debo ir a la sucursal. Estoy segura que no tome este seguro es un abuso y una arbitrariedad de banco estado.
","Solicito devolución de lo que me cobraron por el seguro, una indemnización, multa, sanción y todo lo posible por todas las infracciones y por tomar mis datos así, ya que  además deben haber falsificado mi  firma o no me explico como lo hicieron.
Y pos sobre todo, solicito que se realice una investigación de estas cuentas RUT, hay miles de chilenos que tal vez ni se han enterado de lo que hace banco estado seguros.
"
385926,Reclamo Valores,"reclamo en contra Scotiabank por cobros de mantención de productos no usados ( Cta. Cte., tarjeta de credito y linea de credito)",condonacion de los cobros que hace el Banco.
351568,APIA -Reclamo Seguros ,"Tenía un seguro automotriz que cubria el periodo correspondiente desde 26/09/2011 al 26/09/2012 el cual se renovaba automaticamente por 1 año, es decir desde el 26/09/2012 al 26/09/2013, a pesar de que lo quería terminar hace mucho tiempo me obligaban a seguir hasta el 26/09/2013 fecha en que vencia completamente SIN renovación (tengo la poliza que comprueba lo que escribo). Grande fue mi sorpresa cuando el 26/11/2013 me llega una carta de Marsh indicandome que el seguro mencionado fue RENOVADO AUTOMATICAMENTE por otro año mas (26/09/2013 al 26/09/2014) SIN mi consentimiento ni autorización y que ya lleva 2 meses funcionando sin que tampoco supiera. Yo tengo contratado otro seguro porque no quiero seguir con Marsh pero me encuentro que Marsh renueva ILEGALMENTEe un seguro. He mandado correos electronicos, largas llamadas telefonicas y Marsh NO da respuesta alguna",Cancelación inmediata sin costo de la poliza N° XX y compensación por los perjuicios causados
471160,APIA -Reclamo Seguros ,"Me operaron el 24-11-2014 y después pagué la operación el 12-01-2015, presenté los doctos que me entregó la clínica al seguro el 13-01-2015 y el 23-01-2015 me respondieron que estaba rechazada porque debía adjuntar prefactura (medicamentos e insumos, suministrados durante su hospitalización), emitido por clínica. Fui a la clínica y me informaron que no existía este documento, dado que es un paquete, me emitieron un certificado y se los envié al seguro, sin embargo ahora me solicitan ""para reevaluar el gasto es necesaria alguna documentación de la Isapre que avale el convenio paquete; ya que el monto reclamado no es menor."" consulté en la clínica y lo único que me pueden enviar son los valores de la prestación paquete, donde tampoco vienen los gastos médicos. Llevo 1 mes solicitando la bonificación por parte del seguro. Necesito una solución.

","Que me devuelvan a la brevedad el total de la prestación pagada, ya que por mi plan, si me operaba en la clínica Indisa tengo un 100% de bonificación sin tope."
403488,Reclamo Valores,"Compré acciones de BSANTANDER y me descontaron de la cuenta una cantidad mayor a la facturada. La factura  Nº 1.792.282 es por un valor de $ 486.496 ( iva incluido ) y se incluyen todos los gastos de gestión.
El monto descontado en cuenta corriente es de $ 499.995
Les he enviado varios mails y no tengo ninguna respuesta satisfactoria ni explicación al respecto ( tengo todos los mails de respaldo )",Que se abone en mi cuenta la diferencia cobrada de más ( $ 13.499 ) y una explicación del por qué facturan menos de lo que realmente descuentan.
658977,APIA -Reclamo Seguros ,"Buenos días,
En el 2012 me sometí a una operación bariátrica por padecer enfermedades producto del exceso de peso, en ese entonces el seguro reembolsó lo que correspondía, después de mucho esfuerzo he llegado a un peso de equilibrio donde mis enfermedades se encuentran en remisión, en el 2014 me diagnosticaron un episodio depresivo que finalmente desencadenó en una depresión mayor producto de no sentirme satisfecha con mi cuerpo (entre otras cosas que estoy resolviendo), me sometí a una cirugía reconstructiva, de la cual estoy muy feliz, recuperándome, sin embargo, el seguro me ha rechazado 3 veces indicando que corresponde a estética.
Ruego a ustedes intervenir ya que contaba con ese reembolso y actualmente me siento muy presionada económicamente. Se adjunta todos los antecedentes proporcionados al seguro.
Atte.
XX","Solicito se reembolse lo correspondiente a lo que corresponde a cirugía reparatoria producto de una cirugía bariátrica.
Gracias"
739801,APIA -Reclamo Seguros ,"LA AJUSTADORA PRESENTÓ EN SINIESTRO XX ASEGURADORA MAPFRE INFORME DE LIQUIDACION SIN RESPETAR LAS NORMAS ESTABLECIDAS EN EL DS 1055.

No presentan ninguna opinión técnica fundada para rechazar partidas ni justificación a la razón entregada para rechazar las partidas.

• NO explica el procedimiento, como así tampoco los criterios y parámetros específicos empleados.

• Usa un criterio general para diferentes partidas a pesar de presentar diferentes tipos de daños.
* NO INDICA LAS COBERTURAS ASOCIADAS
* CAMBIA LA FECHA DEL SINIESTRO SIN EL CONSENTIMIENTO DEL ASEGURADO.
* •	El Informe independiente de su Conclusión, tiene carácter absoluto al no hacer un análisis del Cálculo de la Pérdida, lo cual constituye una clara omisión al proceso de liquidación.  Y ES PRESENTADO RECIEN DESPUES DE  IMPUGNADO EL SINIESTRO.

           
","SE HABRA EXPEDIENTE CONTRA EL DENUNCIADO VISTAS LAS CARENCIAS Y FALTAS QUE PRESENTA EL INFORME , SE SANCIONE EN CASO DE CORRESPONDER. SIN PERJUICIO DE LAS ACCCIONES QUE ME CORRESPONDAN COMO ASEGURADO PARA LOGRAR OBTENER LA COBERTURA REQUERIDA."
