CASO_ID,DESCRIPCION_CIUDADANO,PETICION_CIUDADANO
452228,"Conforme a lo indicado en OFORD N°XX, SGD: N°XX de fecha 12 de noviembre del 2014, envío documentación adjunta, específicamente, certificado en el cual mi jefatura indica que el día 27 de Junio del presente año, el suscrito se encontraba de servicio de guardia, cumpliendo funciones propias de un Funcionario Público de la PDI., Lo anterior conforme al motivo de fuerza mayor enunciado en el Art. 16, número 2 de las condiciones generales de la póliza. Haciendo presente que en el Art N°45 del Código Civil se indica; Se llama fuerza mayor o caso fortuito el imprevisto a que no es posible resistir, como un naufragio, un terremoto, el apresamiento de enemigos, los actos de autoridad ejercidos por un funcionario público, etc. En mi situación por ser funcionario público.
Con respecto a que al momento de la denuncia se indicó que el vehículo siniestrado ya había aparecido, debo indicar que dicha información fue recepcionada telefónicamente durante se realizaba denuncia ante personal de Carabineros de Chile.
En relación al denuncio a la compañía que se realizó el día 28, fue debido a que el suscrito realizó incesantes llamados telefónicos a dicha compañía para denunciar el siniestro no teniendo resultados. Conforme lo anterior el día 28 se logró realizar el denuncio vía telefónica asignándome al liquidador XX, a quien comencé a llamar el mismo día, no teniendo respuesta hasta el día lunes 30 del mes de junio, momentos en que me indica que debía completar un formulario por el concepto de robo, Formulario que envió vía correo electrónico el día 09 de julio, el cual fue devuelto por el suscrito el día 10 de julio vía correo electrónico y personalmente en la aseguradora Magallanes, adjuntando además fotografías del vehículo siniestrado a petición del liquidador. Haciendo presente que el liquidador el día 28 de julio me llamó telefónicamente para que rectificara lo manifestado en el formulario de robo que llenó el suscrito.
",Reposición del vehículo siniestrado ya que se encuentra con pérdida total e indemnización por el tiempo transcurrido a la fecha
679778,"He activado seguro de Incendio con adicionales , por una rotura de cañeria que  afecto al domicilio asegurado que causó daños el inmueble.
Aseguradora indica que rechazo de siniestro por limitarse la póliza solo al contenido del inmueble.

Póliza descrita indica explicitamente  que ítem de la póliza dice :

(i) Daños Físicos causados por Rotura de Cañerías o por Desbordamiento de Estanques Matrices (CAD
1 91 062): En consideración al pago de la prima adicional correspondiente y dentro de los límites fijados en las Condiciones Generales y Particulares de esta póliza, el presente adicional se extiende a cubrir
las pérdidas o daños físicos a la materia asegurada causados directa e inmediatamente por el agua
proveniente de rotura de cañerías, desagües o desbordamiento de estanques matrices, todos del edificio donde se encuentren los bienes asegurados.
",Pido su intervención para realizar reclamo contra aseguradora por incumplimiento de  materia asegurada.
713834,"Contrate un seguro automotriz llamado SEGURO MAGALLANES DEALER PREMIUM PARTICULAR, convenio XX, para mi auto marca Jac modelo S2 con fecha 30 de Diciembre del año 2016, através de la automotora Patricio Hidalgo S.A., la forma de pago estipulada fué descuento de Pago automatico de Cuentas ( Pac) el cual de la aseguradora me informan esta vigente, por problemas internos de la aseguradora las cuotas mensuales del valor del seguro no eran descontadas automaticamente, por lo que la segúnda cuota la tuve que pagar via plataforma internet , el mes pasado Marzo al tratar de pagar nuevamente por la misma via el sistema arrojaba un mensaje señalando ""Usted no registra deuda"", a lo que asumí  que ya estaba operando el Pac, este mes intento lo mismo y arroja el mismo mensaje, revisando posteriormente mi estado de cuenta bancario me doy cuenta que no se han hecho los descuentos por lo que llamo a la compañia de seguro, desde aquí me informan que efectivamente debo tanto el mes de Marzo como Abril y que debido a que están actualizando la plataforma virtual, ahora hacer el pago vía transferencia electrónica deberá ser habilitado, si lo deseo, pero con un costo de 3000 pesos extra mensuales por"" gastos administrativos"",  o si deseo no pagar demás debo suscribir un nuevo Pac ya que el otro queda sin vigencia de forma automática, lo cual no implicaría problema, pero para hacerlo debo viajar desde mi ciudad San Antonio, a Viña del Mar( aproximadamente 200 km) a suscribir uno nuevo, lo que por razones laborales se me hace imposible, la compañía no me da solución alguna ya que la primera opción implica un exceso de onerosidad no contemplado al momento de suscribir el contrato y la segunda la perdida de un día laboral completo lo que no me puedo permitir, ademas de los gastos de bencina y demás correspondientes, debido a este atraso sufro el riesgo de que mi auto pierda la poliza y de momento ya tiene un siniestro declarado esperando reparación.","Solicito se me habilite el sistema de pago de forma electrónica sin costo administrativo o adicional alguno, en su defecto descuenten las cuotas por el Pac que suscribí o envíen una persona a mi oficina en San Antonio para la suscripción de nuevo Pac, todo esto manteniendo por supuesto mi auto asegurado mientras se soluciona, además solicito indemnización pecuniaria por los inconvenientes y por el tiempo empleado ya que desarrollar tal tipo de actividades ocupa parte de mi horario laboral y de mi expertis como profesional"
547983,"En mayo 2015 nos robaron nuestra camioneta y la usaron para robar un cajero. Cuando apareció chocado la llevamos al seguro y entro al taller donde se demoraron 5 meses en repararla. El arreglo no quedó bien pues la camioneta estaba des cuadrada y producto de este descuadre, tuvimos un accidente en la ruta 5 sur. Activamos nuevamente el seguro y nos corroboraron que el descuadre no es reparable. El reclamo es básicamente por la negligencia de ls compañía, deberían haber dado por perdida total la camioneta el mayo 2015, sin embargo no lo hicieron y casi morimos por su irresponsabilidad. Ahora otra vez llevamos un mes esperando que nos den respuesta (el accidente fue el 09 octubre) y ellos solo nos han tramitado.
Favor les pido su ayuda, llevamos 6 meses con este problema y nadie se hace cargo ni responde por las irregularidades y daños que hemos sufrido.","Que den por perdida total la camioneta, paguen lo que corresponde y nos indemnicen por todos los daños y perjuicios sufridos en estos meses"
491994,"Soy propietario de una Acción de Inmobiliaria Estadio Árabe S.A., número 0053, Título N° 53, pero al revisar el listado de la SVS no aparece ésta inmobiliaria en los registros, por lo cual solicito a ustedes me indiquen si las  Acciones emitidas por Inmobiliaria Estadio Árabe S.A. deberían estar registradas en la SVS y si éstas acciones tienen valor comercial.
Por otra parte, no he sido convocado a ninguna junta de accionistas, al igual que todos los accionistas poseedores de Acciones B, y en especial a la Junta de Accionistas en que se entregó en comodato parte del terreno de propiedad de la Inmobiliaria,  ocasionando un perjuicio económico al patrimonio de la Inmobiliaria Estadio Árabe S.A., por lo que he solicitado al Directorio de la Inmobiliaria Estadio Árabe S.A. la entrega de las actas de Asambleas, las cuales se me han negado.
Solicito a la SVS requerir ante el Directorio de Inmobiliaria Estadio Árabe S.A. toda la documentación que sea necesaria para acreditar la legalidad de los acuerdos tomados sin la convocatoria de todos los accionistas
","solicito a SVS me indiquen si las  Acciones emitidas por Inmobiliaria Estadio Árabe S.A. deberían estar registradas en la SVS y si éstas acciones tienen valor comercial.Solicito a la SVS requerir ante el Directorio de Inmobiliaria Estadio Árabe S.A., con domicilio en XX, toda la documentación que sea necesaria para acreditar la legalidad de los acuerdos tomados sin la convocatoria de todos los accionistas"
715016,"Voy a presentar un reclamo a SURA por mala información entregada en el proceso Renta 2017. Como les hago llegar una copia de la carta.
Gracias",Solicito me indiquen el procedimiento
558939,"Tengo un plan, en el cual pagaba $38938, que abarca el plan del celular (36.380) más un seguro ""Solo Daños"" ($2.749). En la facturación de octubre y noviembre, tuve un incremento de $3.000 aproximadamente. Llamo a movistar para saber el porqué del aumento y me dicen que el seguro me había subido y que ellos no eran responsables de ese aumento, que me comunicara con la empresa del seguro al numero 800770100 para que me solucionaran el problema. Llamo a dicho numero, y me dicen que ese aumento lo debo ver con Movistar directamente; llamo nuevamente a Movistar y me dicen que tenia que verlo con la empresa aseguradora.
Por lo tanto, tuve un aumento del seguro sin aviso previo y sin respetar el monto con el cual se hizo el contrato.
A quién me dirijo para solucionar este problema? En la superintendencia de Telecomunicaciones me dicen que tengo que hacer el reclamo acá.

",Mantener el precio del plan actual y devolución de los meses en los cuales se me cobró el aumento
786149,"Informé de un siniestro por cesantía, pero este fue rechazado, según informan por faltar cumplir con un día de trabajo para hacer valer el seguro.
La situación es que yo trabajé desde el 1° de Abril hasta el 30 de Septiembre del 2017, cumpliendo con 6 meses completos, al hacer la apelación y adjuntar copia de la póliza dónde se aclara que cumplo con el tiempo requerido y que en la póliza solo habla de meses y no de una cantidad de días de trabajo, la aseguradora, continúa con la negativa para cancelar el seguro por los mismo motivos, al llamar al callcenter 6006001111, informan que para cumplir con el requisito, el trabajo debió haber sido hasta el 1° de octubre 2017, información que ellos mismos consideraron errónea, dudaron y debieron ir a verificar la información ya que consideraban era un error, regresando después de larga espera con el mismo fundamento e indicando volver a realizar una apelación si lo consideraba necesario. Al parecer no quieren asumir una equivocación.
","Favor mediar para hacer valer el seguro y por el pago del mismo, ya que cumplo con los requisitos para esto.

De antemano, muchas gracias por sus gestiones.

Saludos cordiales."
580473,"
Estimado
Quiero  apreciar mi molestia  por  el mar servicio del taller campanario.
 paso lo siguiente
.-el vehiculo sufrio un accidente el 24-12-15 y luedo de dos meses el vehiculo fue reparado y quedo con los siguiente detalles gravimos

.- el vehículo no llego con el guarda fango derecho…siendo que ahí no paso nada…se perdió el repuesto.

.-gente del taller perdió los documentos del vehículo
.-problemas con el arranque del vehiculo

.-el vehículo se  descargo la batería  tuve que pedir  ayuda para echarlo andar(compro bateria nueva)

.- el vehículo lo deje con el  estanque lleno de bencina el cual viene casi vacio

.-el soporte de la batería lo entregan suelto y en mal estado

.- en este tiempo el vehículo recorrió casi 100 km desde que lo entregaron, creo que no corresponde

Saludos y necesito una respuesta a la brevedad
",solo necesito que el vehiculo quede en buen estado sin esos detalles que son gravimos
452246,"Estimados, en la primera semana de septiembre yo presenté siniestro de cuota protegida en la polar. Nunca me dieron respuesta por el tema hasta que gestioné un reclamo con ustedes, y me enviaron una carta el 27 de octubre, aludiendo que mi caso estaría resuelto en 15 días acontar del momento llegada la carta. Como ven, ha pasado más de 30 días, y aún cuando llamo o me acerco a la sucursal no tienen respuesta alguna de mi caso. Les consulté que para qué mandan cartas con promesas, y me dijeron que no sabían, pero que aún estaban en proceso. Al llamar al fono de atención que tienen, me constesta operadora de seguros, consulto por mi caso, y me dice no sé, tiene que seguir esperando, ¿cuanto más le consulto yo? Me responde, no sé. ¿Donde más puedo reclamar si nadie sabe nada? Por favor su ayuda con este caso. 
XX. 
","Ayudenme a que esta falsa empresa entregue una solución real, y no más cartas que solo intentar servir de anestesia quince dias más para no pagar. Que hagan de una vez por todas, efectivo el tema del siniestro, y dejen de inventar que faltan documentos que tienen en el sistema al 100 por ciento. Porque aparte, eso me dijeron una vez que fue, que faltaba una hoja de analisis de la cuenta, el jefe abrio documentos adjuntados de mi caso, y ahí estaba la famosa hoja que yo recordaba haber firmado, están colocando excusas para no pagar. Su ayuda por favor. "
510839,En reunión con el abogado a cargo de la denuncia presentada contra el controlador de la sociedad reclamada se me pidió que adjuntara documentación adicional a través de este medio.,Incorporar los antecedentes adjuntos a la investigación
